-0.0854379999999999;
-0.5719440000000002;
0.7380930000000001;
-0.5035489999999996;
0.7902050000000003;
-0.15940499999999957;
-0.07869499999999974;
0.007940000000000058;
-0.08777499999999971;
0.03273400000000004;
-0.16404399999999963;
-0.01561699999999977;
-0.20111100000000004;
0.6468980000000002;
-0.17988800000000005;
0.005650999999999851;
-0.07268299999999961;
-0.02845000000000031;
-0.2014509999999996;
0.018981000000000137;
-0.07072900000000004;
0.032636999999999805;
0.8866940000000003;
0.013705999999999996;
-0.10735000000000028;
-0.08014800000000033;
-0.3032219999999999;
-0.11222200000000004;
-0.06893100000000008;
-0.03263800000000039;
-0.008656000000000219;
0.9258199999999999;
0.035038000000000125;
-0.07595099999999988;
0.025602000000000125;
-0.11741299999999999;
-0.060411000000000215;
-0.33731000000000044;
-0.22179099999999963;
-0.08200200000000013;
0.03501200000000004;
-0.1733640000000003;
-0.09634699999999974;
-0.07479800000000036;
0.010348000000000024;
-0.08425100000000008;
0.025990999999999875;
-0.07894899999999971;
-0.1759529999999998;
0.8924779999999997;
-0.06745300000000043;
-0.0599949999999998;
0.03337700000000021;
-0.08554900000000032;
0.028122000000000202;
-0.2354050000000001;
-0.00215799999999966;
-0.10071600000000025;
0.015263000000000027;
-0.08032400000000006;
0.030801999999999996;
0.5346039999999999;
-0.22661599999999993;
-0.1108570000000002;
-0.09967599999999965;
0.032308;
0.7751320000000002;
-0.14215100000000014;
-0.0674210000000004;
6.469999999998421E-4;
-0.14791299999999996;
-0.061951999999999785;
0.03503500000000015;
0.03270200000000001;
-0.3389319999999998;
0.7899589999999996;
-0.13136599999999987;
0.03463100000000008;
-0.09269299999999969;
-0.38286399999999965;
0.032639000000000085;
0.0348139999999999;
0.0327869999999999;
-0.0017329999999997625;
0.03501600000000016;
0.033009999999999984;
0.034945000000000004;
-0.0015739999999997423;
0.03306999999999993;
0.03497899999999987;
0.03509999999999991;
0.024014000000000202;
0.034991000000000216;
0.035123000000000015;
0.033122000000000096;
0.02554999999999996;
0.03508900000000015;
0.03313200000000016;
0.03508600000000017;
0.7160260000000003;
-0.30810600000000044;
-0.05940499999999993;
0.03515900000000016;
-0.005768999999999913;
-0.20572700000000044;
-0.009280000000000399;
0.03214799999999984;
-8.150000000002322E-4;
0.035064000000000206;
0.03283900000000006;
0.034991000000000216;
0.03510599999999986;
-0.01762100000000011;
0.03500600000000009;
0.03515399999999991;
0.033169000000000004;
0.02668299999999979;
0.035102999999999884;
0.03322599999999998;
0.03507000000000016;
0.025771999999999906;
0.03306699999999996;
0.03497299999999992;
0.03514499999999998;
-0.33048199999999994;
0.733657;
-0.0834640000000002;
-0.012434999999999974;
-0.19623200000000018;
-0.1354280000000001;
-0.08440400000000015;
0.9637060000000002;
-0.37774600000000014;
-0.2629130000000002;
0.6611609999999999;
-0.20979800000000015;
-0.1712870000000004;
0.5397299999999996;
-0.23401099999999975;
-0.07771599999999967;
-0.22638800000000003;
-0.09411400000000025;
-0.040282999999999625;
-0.08793399999999973;
-0.0038809999999998013;
-0.1924210000000004;
-0.005791999999999575;
-0.08966399999999997;
0.025401000000000007;
-0.2286760000000001;
-0.12355499999999964;
-0.08929399999999976;
0.8793069999999998;
0.03298699999999988;
-0.1041730000000003;
-0.08347800000000039;
-0.10386600000000001;
0.03492700000000015;
-0.08794699999999978;
0.03686100000000003;
-0.1546599999999998;
-0.10055000000000014;
0.5574490000000001;
-0.20871499999999976;
-0.1257060000000001;
-0.05335200000000029;
-0.2173980000000002;
-0.13419500000000006;
-0.19762400000000024;
